#1
double data2(8760,2)   # comment line
  11581200           19
  11584800           19
  11588400           19
  11592000           19
  11595600           19
  11599200           19
  11602800           19
  11606400           19
  11610000           19
  11613600           16
  11617200           16
  11620800           16
  11624400           16
  11628000           16
  11631600           16
  11635200           16
  11638800           16
  11642400           19
  11646000           19
  11649600           19
  11653200           19
  11656800           19
  11660400           19
  11664000           19
  11667600           19
  11671200           19
  11674800           19
  11678400           19
  11682000           19
  11685600           19
  11689200           19
  11692800           19
  11696400           19
  11700000           16
  11703600           16
  11707200           16
  11710800           16
  11714400           19
  11718000           19
  11721600           19
  11725200           19
  11728800           19
  11732400           19
  11736000           19
  11739600           19
  11743200           19
  11746800           19
  11750400           19
  11754000           19
  11757600           19
  11761200           19
  11764800           19
  11768400           19
  11772000           19
  11775600           19
  11779200           19
  11782800           19
  11786400           16
  11790000           16
  11793600           16
  11797200           16
  11800800           16
  11804400           16
  11808000           16
  11811600           16
  11815200           19
  11818800           19
  11822400           19
  11826000           19
  11829600           19
  11833200           19
  11836800           19
  11840400           19
  11844000           19
  11847600           19
  11851200           19
  11854800           19
  11858400           19
  11862000           19
  11865600           19
  11869200           19
  11872800           16
  11876400           16
  11880000           16
  11883600           16
  11887200           16
  11890800           16
  11894400           16
  11898000           16
  11901600           19
  11905200           19
  11908800           19
  11912400           19
  11916000           19
  11919600           19
  11923200           19
  11926800           19
  11930400           19
  11934000           19
  11937600           19
  11941200           19
  11944800           19
  11948400           19
  11952000           19
  11955600           19
  11959200           19
  11962800           19
  11966400           19
  11970000           19
  11973600           19
  11977200           19
  11980800           19
  11984400           19
  11988000           19
  11991600           19
  11995200           19
  11998800           19
  12002400           19
  12006000           19
  12009600           19
  12013200           19
  12016800           19
  12020400           19
  12024000           19
  12027600           19
  12031200           19
  12034800           19
  12038400           19
  12042000           19
  12045600           19
  12049200           19
  12052800           19
  12056400           19
  12060000           19
  12063600           19
  12067200           19
  12070800           19
  12074400           19
  12078000           19
  12081600           19
  12085200           19
  12088800           19
  12092400           19
  12096000           19
  12099600           19
  12103200           19
  12106800           19
  12110400           19
  12114000           19
  12117600           19
  12121200           19
  12124800           19
  12128400           19
  12132000           16
  12135600           16
  12139200           16
  12142800           16
  12146400           16
  12150000           16
  12153600           16
  12157200           16
  12160800           19
  12164400           19
  12168000           19
  12171600           19
  12175200           19
  12178800           19
  12182400           19
  12186000           19
  12189600           19
  12193200           19
  12196800           19
  12200400           19
  12204000           19
  12207600           19
  12211200           19
  12214800           19
  12218400           16
  12222000           16
  12225600           16
  12229200           16
  12232800           16
  12236400           16
  12240000           16
  12243600           16
  12247200           19
  12250800           19
  12254400           19
  12258000           19
  12261600           19
  12265200           19
  12268800           19
  12272400           19
  12276000           19
  12279600           19
  12283200           19
  12286800           19
  12290400           19
  12294000           19
  12297600           19
  12301200           19
  12304800           16
  12308400           16
  12312000           16
  12315600           16
  12319200           19
  12322800           19
  12326400           19
  12330000           19
