#1	
double data(8760,2) #comment	
28522800	292.15
28526400	292.15
28530000	292.15
28533600	292.15
28537200	292.15
28540800	292.15
28544400	292.15
28548000	289.15
28551600	289.15
28555200	289.15
28558800	289.15
28562400	289.15
28566000	289.15
28569600	289.15
28573200	289.15
28576800	292.15
28580400	292.15
28584000	292.15
28587600	292.15
28591200	292.15
28594800	292.15
28598400	292.15
28602000	292.15
28605600	292.15
28609200	292.15
28612800	292.15
28616400	292.15
28620000	292.15
28623600	292.15
28627200	292.15
28630800	292.15
28634400	289.15
28638000	289.15
28641600	289.15
28645200	289.15
28648800	292.15
28652400	292.15
28656000	292.15
28659600	292.15
28663200	292.15
28666800	292.15
28670400	292.15
28674000	292.15
28677600	292.15
28681200	292.15
28684800	292.15
28688400	292.15
28692000	292.15
28695600	292.15
28699200	292.15
28702800	292.15
28706400	292.15
28710000	292.15
28713600	292.15
28717200	292.15
28720800	289.15
28724400	289.15
28728000	289.15
28731600	289.15
28735200	289.15
28738800	289.15
28742400	289.15
28746000	289.15
28749600	292.15
28753200	292.15
28756800	292.15
28760400	292.15
28764000	292.15
28767600	292.15
28771200	292.15
28774800	292.15
28778400	292.15
28782000	292.15
28785600	292.15
28789200	292.15
28792800	292.15
28796400	292.15
28800000	292.15
28803600	292.15
28807200	289.15
28810800	289.15
28814400	289.15
28818000	289.15
28821600	289.15
28825200	289.15
28828800	289.15
28832400	289.15
28836000	292.15
28839600	292.15
28843200	292.15
28846800	292.15
28850400	292.15
28854000	292.15
28857600	292.15
28861200	292.15
28864800	292.15
28868400	292.15
28872000	292.15
28875600	292.15
28879200	292.15
28882800	292.15
28886400	292.15
28890000	292.15
28893600	292.15
28897200	292.15
28900800	292.15
28904400	292.15
28908000	292.15
28911600	292.15
28915200	292.15
28918800	292.15
28922400	292.15
28926000	292.15
28929600	292.15
28933200	292.15
28936800	292.15
28940400	292.15
28944000	292.15
28947600	292.15
28951200	292.15
28954800	292.15
28958400	292.15
28962000	292.15
28965600	292.15
28969200	292.15
28972800	292.15
28976400	292.15
28980000	292.15
28983600	292.15
28987200	292.15
28990800	292.15
28994400	292.15
28998000	292.15
29001600	292.15
29005200	292.15
29008800	292.15
29012400	292.15
29016000	292.15
29019600	292.15
29023200	292.15
29026800	292.15
29030400	292.15
29034000	292.15
29037600	292.15
29041200	292.15
29044800	292.15
29048400	292.15
29052000	292.15
29055600	292.15
29059200	292.15
29062800	292.15
29066400	289.15
29070000	289.15
29073600	289.15
29077200	289.15
29080800	289.15
29084400	289.15
29088000	289.15
29091600	289.15
29095200	292.15
